"X","gender","d_age","samerace","pref_o_attractive","pref_o_sincere","pref_o_intelligence","attractive_o","sinsere_o","intelligence_o","attractive_important","sincere_important","intellicence_important","attractive","sincere","intelligence","attractive_partner","intelligence_partner","sincere_partner","interests_correlate","like","guess_prob_liked","decision","decision_o","match"
28,"F",2,1,4,2,2,4,5,6,4,2,4,8,9,8,7,9,9,0.29,8,7,0,0,0
29,"F",3,1,6,1,3,7,7,6,4,2,4,8,9,8,9,9,9,-0.15,9,7,0,1,0
30,"F",1,1,10,1,1,5,6,8,4,2,4,8,9,8,8,9,7,-0.47,8,7,0,0,0
31,"F",4,1,4,3,3,6,7,8,3,3,3,7,8,9,4,8,10,-0.18,6,7,0,0,0
32,"F",1,1,7,1,1,6,5,10,3,3,3,7,8,9,8,8,7,-0.18,8,1,0,0,0
33,"F",1,0,2,2,2,10,10,10,3,3,3,7,8,9,4,8,7,0.05,4,1,0,1,0
34,"F",0,1,4,1,2,7,7,7,3,3,3,7,8,9,8,7,10,-0.18,8,10,1,1,1
35,"F",1,0,4,2,3,8,8,9,3,3,3,7,8,9,6,8,9,0.21,7,7,0,1,0
36,"F",2,1,6,1,4,6,6,7,3,3,3,7,8,9,5,8,10,0.37,4,3,0,1,0
37,"F",7,1,4,2,3,7,6,3,3,3,3,7,8,9,7,10,10,0.35,5,1,0,1,0
38,"F",4,1,4,2,2,6,7,8,3,3,3,7,8,9,5,9,9,0.15,6,6,0,0,0
39,"F",5,1,6,1,3,7,7,7,3,3,3,7,8,9,9,10,8,-0.47,8,8,1,1,1
40,"F",1,1,10,1,1,7,8,8,3,3,3,7,8,9,8,10,9,-0.19,10,8,1,0,0
41,"F",6,1,4,3,3,6,8,8,3,1,3,6,3,6,5,8,8,-0.43,7,5,0,0,0
42,"F",1,1,7,1,1,6,7,10,3,1,3,6,3,6,8,6,6,0,6,4,0,0,0
43,"F",1,0,2,2,2,10,10,10,3,1,3,6,3,6,4,8,6,-0.17,6,5,0,1,0
44,"F",2,1,4,1,2,6,8,6,3,1,3,6,3,6,8,5,5,0.08,8,2,1,1,1
45,"F",3,0,4,2,3,5,9,9,3,1,3,6,3,6,6,7,7,-0.16,7,4,0,0,0
46,"F",4,1,6,1,4,5,8,7,3,1,3,6,3,6,5,7,6,0.06,7,3,1,0,0
47,"F",9,1,4,2,3,2,3,4,3,1,3,6,3,6,6,8,6,-0.05,6,3,1,0,0
48,"F",6,1,4,2,2,5,5,6,3,1,3,6,3,6,5,7,5,0.07,6,4,1,0,0
49,"F",7,1,6,1,3,5,9,9,3,1,3,6,3,6,7,7,5,-0.13,9,4,1,1,1
50,"F",3,1,10,1,1,3,10,7,3,1,3,6,3,6,9,7,6,-0.06,10,3,1,0,0
51,"F",4,0,4,3,3,7,9,8,2,3,3,5,7,8,6,7,9,0.33,6,6,1,0,0
52,"F",1,0,7,1,1,6,8,10,2,3,3,5,7,8,6,9,9,0.37,7,6,1,0,0
53,"F",1,1,2,2,2,10,10,10,2,3,3,5,7,8,4,9,7,-0.51,6,2,0,1,0
54,"F",0,0,4,1,2,6,8,8,2,3,3,5,7,8,8,7,6,0.12,9,4,1,1,1
55,"F",1,0,4,2,3,9,7,9,2,3,3,5,7,8,5,8,4,0.35,4,3,0,1,0
56,"F",2,0,6,1,4,6,6,8,2,3,3,5,7,8,3,6,7,0.19,2,2,0,1,0
57,"F",7,0,4,2,3,5,6,8,2,3,3,5,7,8,8,8,8,0.47,8,7,1,0,0
58,"F",4,0,4,2,2,6,7,8,2,3,3,5,7,8,4,9,8,0.03,5,5,0,0,0
59,"F",5,0,6,1,3,6,7,7,2,3,3,5,7,8,7,8,6,0.46,9,6,1,1,1
60,"F",1,0,10,1,1,7,10,10,2,3,3,5,7,8,8,9,9,0.43,9,8,1,0,0
61,"F",5,0,4,3,3,7,8,8,2,2,3,6,6,5,4,8,8,0.19,7,4,0,0,0
62,"F",0,0,7,1,1,7,9,10,2,2,3,6,6,5,6,8,6,0.21,7,3,0,1,0
63,"F",0,1,2,2,2,10,10,10,2,2,3,6,6,5,3,8,6,0.52,7,8,0,1,0
64,"F",1,0,4,1,2,8,8,9,2,2,3,6,6,5,7,8,8,-0.46,8,6,1,1,1
65,"F",2,0,4,2,3,8,7,9,2,2,3,6,6,5,4,7,7,-0.27,5,6,0,1,0
66,"F",3,0,6,1,4,8,8,8,2,2,3,6,6,5,4,7,8,0.59,5,5,0,1,0
67,"F",8,0,4,2,3,7,6,5,2,2,3,6,6,5,7,8,7,0.31,8,7,1,0,0
68,"F",5,0,4,2,2,8,7,6,2,2,3,6,6,5,5,8,7,0.08,5,7,0,1,0
69,"F",6,0,6,1,3,9,7,9,2,2,3,6,6,5,6,8,6,-0.34,6,6,1,1,1
70,"F",2,0,10,1,1,7,6,8,2,2,3,6,6,5,8,7,6,-0.16,7,5,1,0,0
71,"F",2,1,4,3,3,8,7,6,1,2,3,7,4,8,5,7,8,-0.03,4,5,1,0,0
72,"F",3,1,7,1,1,8,8,10,1,2,3,7,4,8,8,7,7,-0.11,8,7,1,1,1
73,"F",3,0,2,2,2,10,10,10,1,2,3,7,4,8,5,8,8,0.42,5,5,1,1,1
74,"F",2,1,4,1,2,8,8,8,1,2,3,7,4,8,8,5,6,-0.4,5,6,1,1,1
75,"F",1,0,4,2,3,9,9,8,1,2,3,7,4,8,6,8,8,-0.23,6,5,1,1,1
76,"F",0,1,6,1,4,8,7,7,1,2,3,7,4,8,6,8,8,0.28,6,5,1,1,1
77,"F",5,1,4,2,3,6,4,7,1,2,3,7,4,8,6,8,7,0.05,6,6,1,0,0
78,"F",2,1,4,2,2,9,8,8,1,2,3,7,4,8,5,7,6,0.17,5,4,1,1,1
79,"F",3,1,6,1,3,8,7,8,1,2,3,7,4,8,8,5,8,-0.47,7,10,1,1,1
80,"F",1,1,10,1,1,8,10,9,1,2,3,7,4,8,7,8,6,-0.21,8,7,1,1,1
81,"F",1,0,4,3,3,6,8,7,3,2,3,7,6,10,8,9,10,0.19,5,5,1,0,0
82,"F",4,0,7,1,1,8,8,10,3,2,3,7,6,10,10,10,10,0.03,10,5,1,1,1
83,"F",4,0,2,2,2,10,10,10,3,2,3,7,6,10,5,10,10,0.68,8,5,1,1,1
84,"F",3,0,4,1,2,7,8,7,3,2,3,7,6,10,10,8,9,-0.26,7,5,1,1,1
85,"F",2,0,4,2,3,7,9,8,3,2,3,7,6,10,5,8,10,-0.01,5,5,1,1,1
86,"F",1,0,6,1,4,6,6,7,3,2,3,7,6,10,8,9,9,0.42,6,5,1,1,1
87,"F",4,0,4,2,3,8,6,7,3,2,3,7,6,10,6,9,8,0.21,7,5,1,1,1
88,"F",1,0,4,2,2,7,7,7,3,2,3,7,6,10,6,8,7,0.1,7,5,1,0,0
89,"F",2,0,6,1,3,6,6,6,3,2,3,7,6,10,8,5,5,-0.35,7,6,1,1,1
90,"F",2,0,10,1,1,5,6,6,3,2,3,7,6,10,7,7,8,-0.23,8,5,1,0,0
91,"F",1,1,4,3,3,7,8,7,2,2,2,6,8,10,6,10,10,0.3,6,3,0,0,0
92,"F",4,1,7,1,1,1,1,1,2,2,2,6,8,10,1,1,1,0.65,1,1,0,0,0
93,"F",4,0,2,2,2,10,10,10,2,2,2,6,8,10,6,10,10,-0.15,7,6,1,1,1
94,"F",3,1,4,1,2,7,8,7,2,2,2,6,8,10,10,10,10,0.17,10,1,0,1,0
95,"F",2,0,4,2,3,6,9,9,2,2,2,6,8,10,5,7,7,0.24,6,1,0,1,0
96,"F",1,1,6,1,4,6,8,7,2,2,2,6,8,10,5,6,10,0.15,6,1,0,0,0
97,"F",4,1,4,2,3,7,7,4,2,2,2,6,8,10,5,8,10,0.41,7,1,1,0,0
98,"F",1,1,4,2,2,6,6,6,2,2,2,6,8,10,5,6,6,0.07,5,5,0,0,0
99,"F",2,1,6,1,3,7,7,7,2,2,2,6,8,10,9,9,9,0.49,9,9,1,1,1
100,"F",2,1,10,1,1,6,6,6,2,2,2,6,8,10,9,8,9,0.08,9,10,1,0,0
101,"M",6,0,2,3,3,6,9,7,4,3,3,8,9,7,6,8,8,0.14,7,4,0,1,0
102,"M",3,1,5,1,3,5,7,8,4,3,3,8,9,7,8,6,7,0.29,7,2,0,0,0
103,"M",2,1,4,2,4,7,9,10,4,3,3,8,9,7,7,6,8,-0.24,5,2,0,0,0
104,"M",4,1,3,3,3,4,10,8,4,3,3,8,9,7,6,8,7,-0.18,6,3,0,0,0
105,"M",6,1,3,1,3,5,8,8,4,3,3,8,9,7,6,8,8,-0.43,6,5,0,0,0
106,"M",4,0,2,3,3,6,9,7,4,3,3,8,9,7,7,8,9,0.33,7,4,0,1,0
107,"M",5,0,2,2,3,4,8,8,4,3,3,8,9,7,7,8,8,0.19,7,4,0,0,0
108,"M",2,1,1,2,3,5,8,7,4,3,3,8,9,7,8,6,7,-0.03,7,4,0,1,0
109,"M",1,0,3,2,3,8,10,9,4,3,3,8,9,7,6,7,8,0.19,6,4,0,1,0
110,"M",1,1,2,2,2,6,10,10,4,3,3,8,9,7,7,7,8,0.3,6,3,0,0,0
111,"M",1,0,2,3,3,7,8,7,7,1,1,9,9,9,7,10,8,0.54,8,4,0,1,0
112,"M",2,1,5,1,3,8,5,6,7,1,1,9,9,9,7,10,6,0.18,8,4,0,0,0
113,"M",3,1,4,2,4,9,7,9,7,1,1,9,9,9,6,10,7,-0.14,7,3,0,0,0
114,"M",1,1,3,3,3,8,7,8,7,1,1,9,9,9,6,10,5,-0.18,6,3,0,0,0
115,"M",1,1,3,1,3,8,6,6,7,1,1,9,9,9,6,10,7,0,7,4,0,0,0
116,"M",1,0,2,3,3,6,9,9,7,1,1,9,9,9,6,10,8,0.37,7,4,0,1,0
117,"M",0,0,2,2,3,6,6,8,7,1,1,9,9,9,7,10,9,0.21,8,4,1,0,0
118,"M",3,1,1,2,3,8,7,7,7,1,1,9,9,9,8,10,8,-0.11,9,4,1,1,1
119,"M",4,0,3,2,3,10,10,10,7,1,1,9,9,9,8,10,8,0.03,8,4,1,1,1
120,"M",4,1,2,2,2,1,1,1,7,1,1,9,9,9,1,1,1,0.65,1,1,0,0,0
121,"M",1,1,2,3,3,5,8,9,2,2,2,4,7,8,10,10,10,0.16,10,10,1,1,1
122,"M",2,0,5,1,3,5,8,9,2,2,2,4,7,8,10,10,10,0.1,10,10,1,0,0
123,"M",3,0,4,2,4,7,9,9,2,2,2,4,7,8,10,10,10,0.09,10,10,1,0,0
124,"M",1,0,3,3,3,4,7,8,2,2,2,4,7,8,10,10,10,0.05,10,10,1,0,0
125,"M",1,0,3,1,3,4,6,8,2,2,2,4,7,8,10,10,10,-0.17,10,10,1,0,0
126,"M",1,1,2,3,3,4,7,9,2,2,2,4,7,8,10,10,10,-0.51,10,10,1,0,0
127,"M",0,1,2,2,3,3,6,8,2,2,2,4,7,8,10,10,10,0.52,10,10,1,0,0
128,"M",3,0,1,2,3,5,8,8,2,2,2,4,7,8,10,10,10,0.42,10,10,1,1,1
129,"M",4,0,3,2,3,5,10,10,2,2,2,4,7,8,10,10,10,0.68,10,10,1,1,1
130,"M",4,0,2,2,2,6,10,10,2,2,2,4,7,8,10,10,10,-0.15,10,10,1,1,1
131,"M",2,0,2,3,3,7,6,8,4,1,2,9,9,9,7,9,8,0.61,7,7,1,1,1
132,"M",1,1,5,1,3,7,9,7,4,1,2,9,9,9,9,9,9,-0.21,9,7,1,1,1
133,"M",2,1,4,2,4,9,7,9,4,1,2,9,9,9,7,8,9,-0.04,7,7,1,0,0
134,"M",0,1,3,3,3,8,10,7,4,1,2,9,9,9,7,7,7,-0.18,8,10,1,1,1
135,"M",2,1,3,1,3,8,5,5,4,1,2,9,9,9,6,6,8,0.08,7,7,1,1,1
136,"M",0,0,2,3,3,8,6,7,4,1,2,9,9,9,6,8,8,0.12,7,7,1,1,1
137,"M",1,0,2,2,3,7,8,8,4,1,2,9,9,9,8,9,8,-0.46,8,7,1,1,1
138,"M",2,1,1,2,3,8,6,5,4,1,2,9,9,9,8,8,8,-0.4,8,7,1,1,1
139,"M",3,0,3,2,3,10,9,8,4,1,2,9,9,9,7,7,8,-0.26,7,7,1,1,1
140,"M",3,1,2,2,2,10,10,10,4,1,2,9,9,9,7,7,8,0.17,7,7,1,0,0
141,"M",3,0,2,3,3,5,6,7,4,2,3,7,7,7,8,9,7,0.21,8,6,1,1,1
142,"M",0,0,5,1,3,6,8,7,4,2,3,7,7,7,10,10,10,0.32,10,1,1,0,0
143,"M",1,0,4,2,4,9,10,10,4,2,3,7,7,7,6,8,10,-0.14,6,1,1,0,0
144,"M",1,0,3,3,3,6,9,8,4,2,3,7,7,7,8,9,8,0.21,9,7,1,0,0
145,"M",3,0,3,1,3,6,7,7,4,2,3,7,7,7,5,9,9,-0.16,5,7,0,0,0
146,"M",1,0,2,3,3,5,4,8,4,2,3,7,7,7,9,9,7,0.35,9,2,1,0,0
147,"M",2,0,2,2,3,4,7,7,4,2,3,7,7,7,8,9,7,-0.27,8,4,1,0,0
148,"M",1,0,1,2,3,6,8,8,4,2,3,7,7,7,9,8,9,-0.23,9,7,1,1,1
149,"M",2,0,3,2,3,5,10,8,4,2,3,7,7,7,7,8,9,-0.01,7,8,1,1,1
150,"M",2,0,2,2,2,5,7,7,4,2,3,7,7,7,6,9,9,0.24,6,6,1,0,0
151,"M",4,0,2,3,3,4,9,7,6,1,4,6,6,8,7,8,7,0.25,7,6,1,0,0
152,"M",1,1,5,1,3,8,7,8,6,1,4,6,6,8,7,7,8,0.73,7,5,1,0,0
153,"M",0,1,4,2,4,8,10,10,6,1,4,6,6,8,7,6,6,-0.3,6,7,1,0,0
154,"M",2,1,3,3,3,5,10,8,6,1,4,6,6,8,6,7,6,0.37,6,6,1,0,0
155,"M",4,1,3,1,3,5,6,7,6,1,4,6,6,8,5,7,8,0.06,6,7,0,1,0
156,"M",2,0,2,3,3,3,7,6,6,1,4,6,6,8,6,8,6,0.19,6,6,1,0,0
157,"M",3,0,2,2,3,4,8,7,6,1,4,6,6,8,8,8,8,0.59,7,7,1,0,0
158,"M",0,1,1,2,3,6,8,8,6,1,4,6,6,8,8,7,7,0.28,7,6,1,1,1
159,"M",1,0,3,2,3,8,9,9,6,1,4,6,6,8,6,7,6,0.42,6,5,1,1,1
160,"M",1,1,2,2,2,5,10,6,6,1,4,6,6,8,6,7,8,0.15,6,6,0,0,0
161,"M",9,0,2,3,3,7,6,7,4,2,3,7,7,6,3,7,6,0.34,2,1,0,1,0
162,"M",6,1,5,1,3,7,5,9,4,2,3,7,7,6,5,4,3,0.6,4,3,0,1,0
163,"M",5,1,4,2,4,8,9,10,4,2,3,7,7,6,6,5,3,-0.26,2,2,0,0,0
164,"M",7,1,3,3,3,7,10,10,4,2,3,7,7,6,7,3,6,0.35,6,4,1,0,0
165,"M",9,1,3,1,3,6,6,8,4,2,3,7,7,6,2,4,3,-0.05,3,3,0,1,0
166,"M",7,0,2,3,3,8,8,8,4,2,3,7,7,6,5,8,6,0.47,3,3,0,1,0
167,"M",8,0,2,2,3,7,7,8,4,2,3,7,7,6,7,5,6,0.31,5,4,0,1,0
168,"M",5,1,1,2,3,6,7,8,4,2,3,7,7,6,6,7,4,0.05,4,4,0,1,0
169,"M",4,0,3,2,3,6,8,9,4,2,3,7,7,6,8,7,6,0.21,8,4,1,1,1
170,"M",4,1,2,2,2,5,10,8,4,2,3,7,7,6,7,4,7,0.41,3,6,0,1,0
171,"M",6,0,2,3,3,4,9,7,4,2,2,6,8,6,6,5,7,0.5,7,5,0,0,0
172,"M",3,1,5,1,3,5,8,7,4,2,2,6,8,6,7,7,7,0.07,7,6,1,0,0
173,"M",2,1,4,2,4,7,9,9,4,2,2,6,8,6,4,6,5,0.29,5,1,0,0,0
174,"M",4,1,3,3,3,5,9,9,4,2,2,6,8,6,6,8,7,0.15,7,7,0,0,0
175,"M",6,1,3,1,3,5,5,7,4,2,2,6,8,6,5,6,5,0.07,6,5,0,1,0
176,"M",4,0,2,3,3,4,8,9,4,2,2,6,8,6,6,8,7,0.03,7,6,0,0,0
177,"M",5,0,2,2,3,5,7,8,4,2,2,6,8,6,8,6,7,0.08,7,5,1,0,0
178,"M",2,1,1,2,3,5,6,7,4,2,2,6,8,6,9,8,8,0.17,7,5,1,1,1
179,"M",1,0,3,2,3,6,7,8,4,2,2,6,8,6,7,7,7,0.1,7,5,0,1,0
180,"M",1,1,2,2,2,5,6,6,4,2,2,6,8,6,6,6,6,0.07,7,6,0,0,0
181,"M",7,0,2,3,3,7,6,8,6,1,3,10,6,10,7,8,7,0.28,6.5,8,1,1,1
182,"M",4,1,5,1,3,7,6,8,6,1,3,10,6,10,8,9,6,0.11,8,8,1,1,1
183,"M",3,1,4,2,4,9,9,9,6,1,3,10,6,10,7,6,7,-0.15,7,7,1,0,0
184,"M",5,1,3,3,3,9,8,10,6,1,3,10,6,10,7,7,7,-0.47,8,8,1,1,1
185,"M",7,1,3,1,3,7,5,7,6,1,3,10,6,10,5,9,9,-0.13,7,7,1,1,1
186,"M",5,0,2,3,3,7,6,8,6,1,3,10,6,10,6,7,7,0.46,6,6,1,1,1
187,"M",6,0,2,2,3,6,6,8,6,1,3,10,6,10,9,9,7,-0.34,9,9,1,1,1
188,"M",3,1,1,2,3,8,8,5,6,1,3,10,6,10,8,8,7,-0.47,8,8,1,1,1
189,"M",2,0,3,2,3,8,5,5,6,1,3,10,6,10,6,6,6,-0.35,6,6,1,1,1
190,"M",2,1,2,2,2,9,9,9,6,1,3,10,6,10,7,7,7,0.49,7,8,1,1,1
191,"M",3,0,2,3,3,5,6,6,10,1,1,7,7,10,6,6,6,-0.36,6,6,0,1,0
192,"M",0,1,5,1,3,6,7,8,10,1,1,7,7,10,6,7,5,0.39,6,9,0,1,0
193,"M",1,1,4,2,4,8,7,9,10,1,1,7,7,10,5,8,6,-0.47,5,5,0,0,0
194,"M",1,1,3,3,3,8,9,10,10,1,1,7,7,10,7,8,8,-0.19,7,7,0,1,0
195,"M",3,1,3,1,3,9,6,7,10,1,1,7,7,10,3,7,10,-0.06,4,10,0,1,0
196,"M",1,0,2,3,3,8,9,9,10,1,1,7,7,10,7,10,10,0.43,6,7,0,1,0
197,"M",2,0,2,2,3,8,6,7,10,1,1,7,7,10,7,8,6,-0.16,7,7,0,1,0
198,"M",1,1,1,2,3,7,6,8,10,1,1,7,7,10,8,9,10,-0.21,8,8,1,1,1
199,"M",2,0,3,2,3,7,8,7,10,1,1,7,7,10,5,6,6,-0.23,6,6,0,1,0
200,"M",2,1,2,2,2,9,9,8,10,1,1,7,7,10,6,6,6,0.08,7,7,0,1,0
201,"F",4,1,3,3,3,3,10,10,2,2,3,5,9,7,6,7,8,-0.23,9,1,0,0,0
202,"F",9,1,4,3,2,5,5,5,2,2,3,5,9,7,5,7,8,-0.3,7,2,0,0,0
203,"F",2,1,3,3,3,3,10,9,2,2,3,5,9,7,8,8,9,0.46,9,3,1,0,0
204,"F",3,0,3,4,4,4,5,6,2,2,3,5,9,7,5,8,8,0.43,6,1,0,0,0
205,"F",3,0,3,2,3,6,7,8,2,2,3,5,9,7,7,8,7,-0.4,6,1,0,1,0
206,"F",7,0,3,2,3,7,8,8,2,2,3,5,9,7,6,8,8,0.01,5,2,0,1,0
207,"F",5,0,3,4,3,6,7,10,2,2,3,5,9,7,6,8,8,0.22,8,2,0,0,0
208,"F",9,0,3,3,3,9,5,6,2,2,3,5,9,7,4,7,7,-0.06,5,1,0,1,0
209,"F",1,0,4,2,3,3,8,5,2,2,3,5,9,7,7,7,7,-0.08,6,1,0,0,0
210,"F",4,1,3,3,3,6,7,8,2,2,3,5,9,7,9,10,9,0.28,9,5,1,0,0
211,"F",6,0,4,2,3,5,8,8,2,2,3,5,9,7,5,7,7,0.27,6,1,0,0,0
212,"F",2,0,3,2,4,2,8,8,2,2,3,5,9,7,7,6,4,0.44,2,1,0,0,0
213,"F",0,0,2,3,2,6,6,8,2,2,3,5,9,7,5,8,8,0.62,6,1,0,0,0
214,"F",7,0,5,2,3,6,8,8,2,2,3,5,9,7,6,7,8,-0.08,6,1,0,0,0
215,"F",7,0,5,3,3,5,7,7,2,2,3,5,9,7,6,7,8,-0.2,6,1,0,0,0
216,"F",2,0,3,3,3,5,8,10,2,2,3,5,9,7,5,9,9,0.39,8,3,0,0,0
217,"F",2,0,3,3,3,4,10,8,3,3,3,7,8,7,5,7,7,0.29,6,4,0,0,0
218,"F",3,0,4,3,2,5,5,5,3,3,3,7,8,7,4,6,7,-0.23,3,3,0,0,0
219,"F",4,0,3,3,3,3,6,8,3,3,3,7,8,7,5,6,6,0.44,3,2,0,0,0
220,"F",3,0,3,4,4,4,5,5,3,3,3,7,8,7,5,7,7,-0.04,4,3,0,0,0
221,"F",3,0,3,2,3,6,7,6,3,3,3,7,8,7,6,8,8,-0.21,6,6,1,1,1
222,"F",1,0,3,2,3,7,7,7,3,3,3,7,8,7,6,7,7,-0.02,6,6,1,1,1
223,"F",1,0,3,4,3,5,8,5,3,3,3,7,8,7,8,7,7,-0.33,7,4,1,0,0
224,"F",3,0,3,3,3,6,5,6,3,3,3,7,8,7,5,7,7,0.27,5,4,0,1,0
225,"F",5,0,4,2,3,4,6,6,3,3,3,7,8,7,7,7,7,0.73,7,4,1,0,0
226,"F",2,0,3,3,3,7,8,7,3,3,3,7,8,7,6,7,7,-0.08,5,3,0,0,0
227,"F",0,1,4,2,3,6,8,7,3,3,3,7,8,7,5,7,6,0.12,6,6,1,0,0
228,"F",4,0,3,2,4,2,2,3,3,3,3,7,8,7,3,5,4,-0.52,2,1,0,0,0
229,"F",6,0,2,3,2,4,6,7,3,3,3,7,8,7,3,7,6,0.03,2,2,0,0,0
230,"F",1,0,5,2,3,6,8,8,3,3,3,7,8,7,7,8,7,0.5,8,5,1,0,0
231,"F",1,0,5,3,3,4,7,7,3,3,3,7,8,7,4,5,5,0.33,4,2,0,0,0
232,"F",4,1,3,3,3,5,8,9,3,3,3,7,8,7,6,7,7,0.16,7,6,1,0,0
233,"F",4,1,3,3,3,5,4,3,2,3,5,5,8,6,5,6,7,0.22,8,6,1,0,0
234,"F",9,1,4,3,2,8,8,8,2,3,5,5,8,6,5,7,7,0.06,7,6,0,0,0
235,"F",2,1,3,3,3,6,10,9,2,3,5,5,8,6,6,7,6,0.41,6.5,5,1,0,0
236,"F",3,0,3,4,4,4,6,5,2,3,5,5,8,6,5,8,7,-0.35,7,6,1,1,1
237,"F",3,0,3,2,3,8,8,8,2,3,5,5,8,6,7,7,7,-0.17,9,10,1,1,1
238,"F",7,0,3,2,3,7,8,7,2,3,5,5,8,6,6,7,7,-0.1,7,5,1,1,1
239,"F",5,0,3,4,3,6,8,9,2,3,5,5,8,6,7,7,6,-0.52,7,5,1,0,0
240,"F",9,0,3,3,3,5,6,6,2,3,5,5,8,6,5,7,6,0.21,6,5,0,1,0
241,"F",1,0,4,2,3,4,6,6,2,3,5,5,8,6,6,6,6,0.58,6,5,0,0,0
242,"F",4,1,3,3,3,7,8,8,2,3,5,5,8,6,7,6,7,-0.23,8,6,1,0,0
243,"F",6,0,4,2,3,5,7,7,2,3,5,5,8,6,6,7,6,0.05,7,5,1,0,0
244,"F",2,0,3,2,4,4,6,4,2,3,5,5,8,6,7,5,6,-0.57,6,4,0,0,0
245,"F",0,0,2,3,2,7,7,6,2,3,5,5,8,6,6,5,6,-0.13,6,5,0,0,0
246,"F",7,0,5,2,3,7,8,8,2,3,5,5,8,6,6,7,7,0.49,6,5,0,1,0
247,"F",7,0,5,3,3,6,7,7,2,3,5,5,8,6,6,6,7,0.35,6,4,0,1,0
248,"F",2,0,3,3,3,6,9,10,2,3,5,5,8,6,6,7,8,0.1,6,5,0,0,0
249,"F",2,0,3,3,3,5,10,9,2,3,3,7,9,9,5,7,6,-0.31,6,3,0,0,0
250,"F",3,0,4,3,2,5,5,5,2,3,3,7,9,9,7,7,8,-0.07,8,4,0,0,0
251,"F",4,0,3,3,3,7,6,7,2,3,3,7,9,9,6,7,8,0.09,7,5,0,0,0
252,"F",3,1,3,4,4,5,5,6,2,3,3,7,9,9,7,8,8,-0.32,7,5,0,0,0
253,"F",3,1,3,2,3,5,7,8,2,3,3,7,9,9,5,8,8,0.54,7,7,0,1,0
254,"F",1,1,3,2,3,6,6,6,2,3,3,7,9,9,7,8,7,-0.19,8,6,0,1,0
255,"F",1,1,3,4,3,7,8,8,2,3,3,7,9,9,9,7,8,0.24,8,7,1,0,0
256,"F",3,1,3,3,3,6,6,6,2,3,3,7,9,9,5,7,7,0.04,7,7,0,1,0
