Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
19.0,7,91545.15,7344.7625,5.0,4.0,5.0,0.0,25,18.0,5.57,0.0,2,1330.89,29.576923327041094,27.92,0,0.0,173.69820588155127,3,820.7780441184487,1
43.0,5,74092.04,6029.336666666666,7.0,9.0,15.0,3.0,36,16.0,2.94,10.0,0,1531.49,36.56735240090501,13.17,1,105.64599501025876,101.9556711357134,1,635.3320005206947,1
52.0,10,11855.82,943.985,6.0,6.0,17.0,1.0,13,10.0,7.89,5.0,1,735.37,33.25243479274676,17.83,1,5.711416878860573,80.05423292568939,6,298.63285019545003,1
39.0,8,17594.78,1481.2316666666666,10.0,6.0,29.0,7.0,52,25.0,5.55,15.0,,2413.88,32.38517708935645,18.5,2,74.00056717550693,73.23700153515556,4,270.8855979560042,1
26.0,13,24482.38,2242.1983333333333,6.0,4.0,9.0,1.0,25,20.0,8.31,8.0,,725.13,24.2025689114208,25.67,1,15.625747735807051,119.79954845181094,3,348.7945371457154,1
18.0,3,69428.72,5721.7266666666665,10.0,8.0,18.0,4.0,40,15.0,2.94,12.0,0,2474.96,29.79613335312101,11.25,2,178.0578629312314,494.1800565267618,6,189.9347472086736,1
29.0,15,17282.84,1326.236666666667,6.0,4.0,23.0,7.0,8,16.0,12.27,7.0,,1982.41,38.65255859484581,6.92,1,86.00863648980484,145.34534379690226,6,191.2696863799596,1
31.0,14,75816.52,6291.043333333334,6.0,9.0,22.0,5.0,20,24.0,27.85,9.0,0,2555.9,33.48202492610021,5.75,1,158.16377910521788,68.30757083580313,1,642.6329833923124,1
21.0,5,50513.25,4051.4375,10.0,10.0,23.0,5.0,16,18.0,21.55,9.0,0,3250.87,25.41282079433168,8.25,1,208.44543409997124,349.4756050273418,4,117.22271087268687,1
44.0,11,45033.54,3860.795,5.0,6.0,21.0,2.0,22,18.0,17.15,10.0,1,2381.98,29.479545275689286,17.33,1,57.85260773104784,122.88451557525921,4,475.342376693693,1
30.0,8,41414.58,3476.215,9.0,6.0,23.0,2.0,19,21.0,2.390000000000001,14.0,0,1891.1,22.903951907755367,7.17,1,44.0619649927691,208.66884498363274,5,374.89069002359815,1
35.0,15,16770.6,1488.55,5.0,6.0,25.0,2.0,29,17.0,7.44,4.0,1,1984.5,38.464285918145016,9.83,1,26.8692093372618,122.19314719651494,6,289.79264346622324,1
17.0,5,20341.77,1604.1475,8.0,4.0,22.0,2.0,9,17.0,10.85,7.0,1,1982.38,29.32409112582524,18.08,1,31.2666187749207,36.325299517695996,2,342.82283170738333,1
27.0,11,16691.32,1292.9433333333334,5.0,5.0,7.0,7.0,23,8.0,7.66,4.0,1,1532.3,27.07448604282171,11.08,1,68.22470572940401,27.82609730475577,1,273.2435302991736,1
17.0,5,47330.91,3793.2425,9.0,10.0,18.0,3.0,50,23.0,3.68,11.0,0,1455.64,35.79044492252438,13.0,1,103.17933193507808,87.3933076966162,2,438.75161036830565,1
50.0,3,41983.29,3389.6075,2.0,3.0,4.0,3.0,22,7.0,10.45,2.0,2,1058.68,38.301892241096056,24.75,0,100.02288508408738,192.5315407146954,6,336.4063242012172,1
24.0,11,14616.91,1206.075833333333,8.0,6.0,27.0,8.0,47,24.0,6.06,8.0,0,2684.22,35.101275004734376,14.0,1,86.23562288972238,74.6100012664367,6,249.76195917717428,1
27.0,10,26396.88,2356.74,3.0,7.0,2.0,2.0,29,16.0,11.63,0.0,,504.18,35.65983854751533,19.08,0,22.969071090325023,158.97030849854713,3,313.7346204111279,1
16.0,15,8027.195,560.9329166666666,10.0,5.0,20.0,2.0,29,25.0,1.48,12.0,0,1720.19,34.204905820431065,9.67,1,8.961406105567454,13.8458557486935,3,293.28602981240573,1
29.0,4,76593.92,6402.826666666668,6.0,9.0,27.0,3.0,53,13.0,0.71,9.0,0,1864.11,39.18933128346379,17.17,1,96.71243804653636,141.7523393139815,2,651.8178893061488,1
40.0,13,17689.64,1286.1366666666663,7.0,6.0,25.0,7.0,29,19.0,23.25,6.0,0,3783.14,33.317268956016115,5.58,1,96.06048105815356,117.75152561906954,6,204.80165998944355,1
34.0,5,20374.59,1924.8825,6.0,6.0,25.0,3.0,27,20.0,19.58,9.0,1,1302.63,27.83126741675665,12.83,1,46.16207652325348,58.19957242205866,0,348.1266010546878,1
54.0,12,33720.51,2678.0425,7.0,4.0,16.0,2.0,13,19.0,15.47,3.0,,583.96,22.61610807971505,32.58,1,43.61419714872216,195.6707737676411,6,318.51927908363683,1
31.0,3,65278.92,5402.91,10.0,7.0,19.0,3.0,42,25.0,2.18,16.0,0,1367.57,33.12908467879012,18.0,1,145.6007000086789,268.7201111360904,0,385.9701888552308,1
43.0,7,8875.135,989.5945833333334,8.0,9.0,27.0,2.0,26,13.0,18.46,15.0,1,1353.77,27.489991324274925,17.58,1,9.058562005846758,55.43159911203063,5,314.469297215456,1
53.0,13,112021.6,9452.133333333331,7.0,6.0,5.0,0.0,14,12.0,6.88,2.0,1,1313.69,36.04191893081593,27.58,0,0.0,216.26116417854,2,978.9521691547934,1
20.0,15,32412.72,2887.06,9.0,6.0,32.0,9.0,40,23.0,7.99,12.0,0,3632.05,33.696084784829104,10.42,1,163.06753585436562,201.0037711743061,4,194.63469297132823,1
20.0,1,37607.28,2842.94,3.0,6.0,17.0,3.0,16,14.0,15.0,9.0,1,1361.67,38.6540695003438,18.83,1,81.81690606825181,101.96031965845924,3,360.51677427328906,1
41.0,1,14962.35,958.8625,7.0,9.0,33.0,8.0,26,20.0,9.97,12.0,0,1945.68,27.36900300293025,20.42,1,67.46163206909782,102.93856401581043,6,215.48605391509173,1
26.0,7,20833.19,1664.0991666666666,6.0,6.0,34.0,5.0,31,22.0,16.02,9.0,,4987.19,31.00565695432009,4.17,1,77.59130261824843,65.58789323843409,4,293.2307208099842,1
29.0,10,68667.56,5929.296666666666,7.0,6.0,21.0,3.0,26,9.0,15.03,7.0,1,1384.94,26.409333367592694,9.67,1,146.82745256942155,155.6235440090221,2,540.478670088223,1
26.0,10,8898.495,738.5412500000001,8.0,10.0,33.0,7.0,52,8.0,12.57,8.0,1,2665.74,25.16260249298493,6.75,1,37.06935856945269,42.17480633807666,5,274.6099600924706,1
23.0,13,14125.67,1173.1391666666666,10.0,10.0,22.0,8.0,62,24.0,6.5,7.0,,2426.75,34.61752265937279,18.17,2,48.7180385608001,71.44851002170019,6,287.1473680841664,1
35.0,1,50817.9,4531.825,3.0,6.0,29.0,2.0,17,15.0,17.05,12.0,1,2368.19,40.40488349145446,8.58,1,47.53723210835172,173.49330447762216,2,482.1519634140261,1
34.0,0,58248.33,4722.0275,8.0,6.0,33.0,5.0,25,22.0,18.38,12.0,0,1528.09,28.32515380889676,7.08,1,213.876537956744,186.48460540975648,3,331.8416066334996,1
23.0,5,15671.96,1400.996666666667,10.0,5.0,34.0,2.0,59,20.0,2.43,10.0,0,1885.3,31.84496534623959,13.25,1,13.24337104800097,78.9268049518069,6,337.92949066685884,1
21.0,5,50513.25,4051.4375,10.0,10.0,23.0,5.0,16,18.0,21.55,9.0,0,3250.87,38.07806419159739,8.17,2,208.44543409997124,360.97968043603083,4,105.718635463998,1
40.0,5,52754.28,4205.19,9.0,6.0,27.0,6.0,53,16.0,8.33,11.0,0,1624.09,33.86771758768056,15.0,2,142.91519138634044,267.16517982491746,3,270.4386287887421,1
38.0,15,10030.52,696.8766666666667,10.0,9.0,27.0,8.0,46,19.0,17.39,11.0,,4812.08,36.338337995832646,12.08,1,52.410230157087774,27.096189370824643,3,250.18124713875423,1
24.0,5,33447.42,2859.285,8.0,5.0,13.0,3.0,6,10.0,18.88,4.0,1,1571.52,37.25970627482685,12.5,1,60.51356730337264,63.473004786079706,3,421.94192791054763,1
36.0,6,73376.94,5961.745,5.0,5.0,10.0,3.0,5,-2.0,,6.0,2,493.15,23.571138464001304,22.67,0,178.47096453293454,223.70747297878052,2,443.9960624882849,1
25.0,13,60585.08,4977.756666666667,8.0,6.0,8.0,2.0,22,9.0,4.16,4.0,2,461.13,31.43064637386533,24.25,0,84.26082494287235,110.76385334322978,2,552.7509883805645,1
36.0,7,33465.57,2820.7975,0.0,5.0,10.0,2.0,12,0.0,4.62,1.0,,531.91,36.87257374471616,30.58,0,40.22460348863007,173.16327556468462,4,338.6918709466853,1
31.0,8,28694.16,2544.18,8.0,9.0,15.0,8.0,47,19.0,6.52,10.0,0,2481.83,24.61581550601917,5.17,1,123.70439538098508,154.84052716903082,5,255.8730774499841,1
31.0,8,47119.29,3637.6075,7.0,5.0,24.0,6.0,22,24.0,8.06,10.0,0,2773.96,33.277638953733394,13.33,1,181.40352377744213,108.87782750833895,2,323.47939871421903,1
35.0,11,18371.27,1295.9391666666668,10.0,10.0,27.0,5.0,59,17.0,8.17,6.0,1,2307.33,33.52499240044744,10.42,1,52.00120160422738,49.86315939229641,5,307.7295556701429,1
24.0,6,29038.58,2382.8816666666667,8.0,4.0,12.0,7.0,18,20.0,15.24,6.0,1,1583.12,23.712682494795928,20.42,1,110.9417045516498,81.86015563461874,4,315.4863064803982,1
42.0,9,30984.66,2547.055,7.0,6.0,18.0,0.0,23,15.0,6.0,7.0,1,473.86,25.8610004970014,26.5,0,0.0,156.07363637097762,6,388.63186362902235,1
40.0,0,8770.03,868.8358333333334,8.0,10.0,24.0,6.0,21,10.0,9.83,11.0,1,2289.03,38.8176983783136,15.67,1,30.319984575652708,90.91941636585173,6,255.6441823918289,1
56.0,2,32011.89,2806.6575,2.0,6.0,4.0,3.0,12,9.0,,1.0,2,1215.09,25.13083788114665,26.0,2,66.35744898663442,117.92539724250393,2,346.38290377086156,1
32.0,5,9211.98,769.665,7.0,6.0,23.0,7.0,17,17.0,1.11,9.0,0,1881.18,25.87092733594821,9.67,1,27.28395086093755,30.12369741908759,6,309.5588517199749,1
42.0,1,20712.24,2007.02,3.0,3.0,30.0,7.0,7,11.0,8.43,6.0,1,2375.83,26.48335671353212,12.92,1,84.77788281752866,70.4670985002114,6,335.45701868226,1
43.0,8,17276.8,1584.7333333333331,8.0,5.0,34.0,3.0,46,8.0,15.95,11.0,1,1980.0,27.94709929263046,17.75,1,23.89759721451887,97.73808382714128,6,326.8376522916732,1
15.0,11,18474.665,1623.5554166666668,6.0,4.0,8.0,4.0,28,8.0,17.81,5.0,1,1070.85,22.02211207752386,27.08,1,41.77876669551781,164.05647585029703,0,246.52029912085186,1
15.0,13,19028.45,1497.7041666666669,9.0,10.0,15.0,7.0,35,18.0,16.16,6.0,,2600.23,29.95996610211298,12.33,1,78.84913307750013,104.53200529450793,6,256.3892782946586,1
42.0,5,15551.68,1542.9733333333334,7.0,9.0,32.0,7.0,60,13.0,-5.01,15.0,0,1660.2,37.41817299437261,13.75,1,86.80393980481142,188.08088906326165,6,169.41250446526027,1
19.0,1,29167.68,2138.64,8.0,9.0,21.0,3.0,43,24.0,14.6,6.0,0,2091.98,25.56923493157146,11.75,1,49.619467112180615,134.7441600058003,4,299.5003728820191,1
24.0,6,14539.01,1077.5841666666668,8.0,8.0,18.0,7.0,36,25.0,6.16,8.0,0,2685.69,34.92601664321143,11.92,1,49.320873451611824,49.4534732700948,3,268.9840699449601,1
46.0,14,49963.65,4456.6375,8.0,9.0,19.0,3.0,56,28.0,4.92,11.0,0,1624.6,36.55433691385091,6.33,1,99.88706368701192,124.98838430899956,2,470.7883020039885,1
25.0,6,16819.98,1680.665,6.0,7.0,33.0,5.0,30,21.0,1.07,11.0,0,3048.28,37.34003245599839,4.92,1,37.67052211258328,183.65738257206215,6,236.7385953153546,1
43.0,4,55583.67,4816.9725,6.0,5.0,11.0,2.0,23,16.0,14.29,5.0,1,2019.51,39.9406152466392,16.83,2,69.73399853680547,148.49889809256624,5,543.4643533706283,1
39.0,3,58380.6,4891.05,7.0,5.0,27.0,4.0,57,20.0,9.94,12.0,,1494.92,28.629072300358445,9.75,1,160.05196665231998,472.7538765236911,6,146.29915682398894,1
22.0,7,16266.91,1220.575833333333,9.0,9.0,28.0,2.0,32,13.0,2.7,9.0,0,2125.88,33.83812751053836,16.83,1,23.054673584694363,101.90198293063,5,277.100926818009,1
32.0,10,15026.04,1059.17,10.0,5.0,28.0,6.0,19,18.0,8.79,7.0,0,4062.77,28.763113303762857,12.42,1,39.47601126941029,46.49209448076989,6,309.9488942498198,1
24.0,12,17484.02,1491.0016666666668,5.0,5.0,33.0,3.0,9,15.0,17.0,6.0,1,2483.63,29.00355156749785,20.25,1,43.672944165120846,74.43645870144925,6,320.9907638000966,1
48.0,10,40021.11,3233.0925,3.0,5.0,6.0,1.0,3,9.0,3.44,1.0,2,148.4,28.20108164782741,18.58,2,19.37656741508198,142.39135027051532,3,421.54133231440284,1
43.0,6,36229.54,3012.1283333333336,2.0,6.0,11.0,1.0,7,5.0,1.1,3.0,2,1274.92,40.24749696658198,16.08,0,19.999566499140236,134.98561349674887,3,406.2276533374443,1
34.0,4,71391.78,5902.315,8.0,7.0,11.0,4.0,23,19.0,,7.0,1,1305.41,32.17716734214867,30.83,1,191.559201865086,209.06979230250641,6,479.6025058324077,1
29.0,3,17946.85,1437.5708333333332,8.0,10.0,33.0,6.0,37,21.0,26.61,7.0,0,4348.48,36.096435771137074,6.75,1,53.61062329648181,68.72216037239788,3,281.4242996644537,1
19.0,2,60423.56999999999,5269.2975,10.0,7.0,18.0,3.0,57,5.0,12.38,6.0,1,2369.74,30.760878529800376,10.0,1,107.8137986071272,243.75347460529332,5,455.3624767875796,1
20.0,4,53627.01,4644.9175,10.0,8.0,30.0,7.0,18,20.0,19.73,12.0,0,3796.42,26.71944020163836,5.58,2,186.1061962088812,162.01316032780997,6,406.37239346330887,1
15.0,12,15531.09,1133.2575,8.0,5.0,22.0,5.0,20,20.0,7.26,6.0,0,4734.52,39.84186920257277,14.0,1,41.74227148886381,30.970777335658113,2,290.61270117547804,1
23.0,15,16413.23,1262.7691666666667,6.0,10.0,31.0,6.0,54,25.0,15.0,8.0,0,2547.35,24.27241631142888,12.75,1,74.16018018203783,152.16032198736673,6,189.9564144972621,1
39.0,0,8707.38,456.61499999999984,4.0,4.0,23.0,4.0,12,10.0,16.68,8.0,,1684.57,29.86986251140172,10.92,1,18.48344183793245,58.65143748423039,0,258.5266206778372,1
21.0,5,49675.38,4109.615,9.0,6.0,22.0,2.0,33,17.0,14.75,12.0,1,2665.67,35.20167799418429,12.17,1,57.52334544589755,286.2067639690298,3,327.23139058507263,1
28.0,15,81892.68,7112.389999999999,6.0,6.0,20.0,4.0,23,23.0,16.22,8.0,0,1933.98,32.21743839543373,10.42,1,198.16207632016895,95.9999733407962,1,657.0769503390347,1
41.0,14,130435.86000000002,10623.655,4.0,6.0,9.0,2.0,17,1.0,10.85,0.0,2,942.71,29.149975854056468,29.58,0,188.18613322151185,308.52939191086347,5,845.6499748676248,1
15.0,12,16559.75,1589.979166666667,4.0,5.0,19.0,4.0,23,10.0,6.5,9.0,,1716.01,24.270141184203467,10.25,1,31.92458954121993,109.6744360978601,3,277.39889102758667,1
21.0,0,23029.61,2034.134166666667,4.0,5.0,3.0,4.0,28,18.0,0.88,4.0,2,424.17,31.679323611495946,28.75,0,47.558257423462926,44.32286122925375,1,351.53229801394997,1
24.0,0,15331.52,1033.6266666666668,10.0,7.0,34.0,5.0,61,19.0,3.05,12.0,,2097.85,38.41121723193525,9.42,1,42.68588125136765,118.09310475165495,6,232.58368066364412,1
41.0,0,43892.31,3798.6925,6.0,9.0,28.0,4.0,45,22.0,5.91,12.0,0,2001.71,37.901011945078295,10.5,1,80.11142370706325,307.3641886462542,4,262.39363764668246,1
34.0,1,30548.74,2727.728333333333,7.0,5.0,33.0,2.0,49,21.0,14.95,12.0,0,2051.86,39.57034510399303,6.92,1,47.1573307181713,199.3656076568955,6,316.2498949582666,1
39.0,14,9436.415,550.3679166666667,7.0,9.0,28.0,8.0,15,17.0,12.59,7.0,,3073.02,32.81694341617193,3.42,2,41.32276573373212,32.95912634762172,6,270.75489958531284,1
49.0,15,35207.73,3081.9775000000004,4.0,7.0,5.0,2.0,11,6.0,6.85,2.0,,871.67,25.877306914882663,24.67,2,38.98416654009254,104.01865393490236,3,425.19492952500514,1
14.0,14,37720.58,3212.3816666666667,6.0,9.0,24.0,5.0,22,16.0,4.14,11.0,0,1573.68,33.155330257262285,10.83,1,128.94140886702775,74.81605727898892,2,367.48070052065003,1
40.0,13,43016.7,3853.725,7.0,7.0,27.0,6.0,60,13.0,18.66,10.0,1,2136.77,37.013236757645714,11.83,1,131.24895370254958,98.50614436346085,1,395.61740193398947,1
45.0,11,20228618.0,1066.4450000000004,8.0,6.0,7.0,1.0,7,10.0,3.94,0.0,1,1191.71,26.744543305952288,27.17,0,6.4878675261176335,105.8539873476362,6,284.3026451262462,1
44.0,1,17963.45,1328.9541666666669,6.0,7.0,17.0,2.0,61,15.0,8.75,10.0,0,2052.02,37.28628491401784,6.75,1,23.01331426191241,69.10665155006313,6,330.7754508546912,1
43.0,11,69895.56,5893.63,3.0,6.0,9.0,4.0,18,5.0,9.65,3.0,2,91.34,26.44482307186984,16.58,0,154.58188683665853,510.41355500519256,6,214.3675581581489,1
27.0,15,9547.825,839.6520833333334,7.0,7.0,28.0,5.0,29,21.0,15.19,13.0,,2630.75,33.198022029727824,14.5,1,26.82664364488001,65.11249380379391,5,272.0260708846594,1
30.0,7,9335.19,844.9325,7.0,10.0,26.0,6.0,17,19.0,18.18,7.0,,1860.2,33.99891455456468,13.67,1,41.49926737000092,50.67853272087289,5,272.3154499091262,1
19.0,0,97961.96,8205.496666666666,4.0,6.0,6.0,0.0,7,10.0,6.46,3.0,,750.95,31.477867979259315,28.42,0,0.0,246.04774221806042,4,844.5019244486064,1
24.0,11,56985.9,4700.825,9.0,8.0,20.0,7.0,49,13.0,22.74,15.0,1,1850.68,26.64773241630808,6.25,1,195.4975121996544,64.44380520565164,1,450.141182594694,1
38.0,5,32387.94,2819.995,8.0,4.0,12.0,0.0,5,9.0,6.18,5.0,,565.34,25.31087915754719,16.75,0,0.0,213.63270455090958,6,358.36679544909043,1
22.0,12,15680.0,1571.666666666667,7.0,9.0,16.0,4.0,40,16.0,8.55,11.0,0,1823.34,33.403882561635214,17.58,2,27.05276429494604,184.73935619445237,6,235.3745461772683,1
27.0,11,16038.69,1176.5575,8.0,7.0,16.0,7.0,24,12.0,13.5,7.0,,1975.78,26.46093284854815,16.33,1,79.94205890844974,77.64563131775783,4,230.0680597737924,1
36.0,3,14914.01,1504.8341666666668,10.0,9.0,17.0,8.0,36,21.0,3.75,9.0,0,1357.22,35.21506855434541,11.75,1,79.99519079335279,76.19328064172612,6,284.2949452315878,1
38.0,2,7750.735,701.8945833333332,3.0,7.0,25.0,3.0,12,17.0,18.72,14.0,1,1651.44,25.52628280328323,10.5,1,17.191110192166207,18.245668403640746,2,284.75267973752636,1
33.0,0,28452.8,2267.0666666666666,10.0,8.0,21.0,5.0,56,20.0,12.18,14.0,,1909.79,30.838885910472573,18.42,1,106.58414239646105,44.88223567733112,1,315.2402885928745,1
43.0,12,17776.2,1727.35,10.0,6.0,34.0,5.0,51,11.0,16.99,9.0,1,2221.13,34.042474460381214,18.42,1,57.275959322842034,47.043201526857914,2,318.41583915030014,1
45.0,3,62565.60000000001,5086.8,8.0,8.0,24.0,4.0,20,20.0,6.94,8.0,,1401.39,26.618632224518876,14.67,1,146.36361864024568,109.95186645952083,2,502.36451490023353,1
30.0,6,9474.16,745.5133333333333,7.0,6.0,30.0,2.0,58,15.0,17.57,9.0,0,2370.05,35.142277791467826,9.92,1,15.00342697932101,37.512947678492544,5,302.03495867551976,1
19.0,15,53266.23,4310.8525,4.0,6.0,16.0,4.0,17,20.0,9.62,6.0,1,1988.24,41.54680782603732,9.92,1,176.3947605622812,74.6412447217693,2,430.0492447159496,1
19.0,0,25994.56,2349.2133333333336,5.0,5.0,12.0,1.0,16,20.0,7.53,5.0,2,1182.14,23.369178540358487,32.33,0,21.384872555945844,237.49215385999105,6,266.0443069173965,1
24.0,7,43335.48,3670.29,7.0,5.0,19.0,6.0,48,13.0,15.83,12.0,1,1264.71,33.08828922908487,19.17,2,133.68868684473466,85.46026696016989,1,387.88004619509553,1
28.0,12,33787.3,2956.6083333333336,7.0,5.0,34.0,6.0,49,15.0,0.72,6.0,0,2813.15,31.869696284191903,8.0,1,101.55315770605269,32.78647911015656,1,401.3211965171241,1
25.0,10,16229.86,1216.4883333333337,7.0,5.0,28.0,6.0,48,25.0,19.58,9.0,,3138.55,26.86381719531853,11.17,2,64.06840948225809,148.81375392605958,6,198.7666699250157,1
32.0,0,22188.45,2006.0375,1.0,5.0,3.0,1.0,24,1.0,3.87,7.0,2,1352.38,24.310019622940825,16.17,2,10.011417582528251,42.54236849757413,1,388.04996391989766,1
31.0,1,44689.77,3741.1475000000014,6.0,6.0,20.0,7.0,8,6.0,8.31,7.0,1,2319.8,36.193874142490586,13.42,1,202.06108052742184,53.78990585571516,1,358.2637636168631,1
36.0,9,22250.525,1945.2104166666668,4.0,4.0,7.0,0.0,20,4.0,2.1,2.0,,1443.78,26.416026558954503,30.08,2,0.0,96.21105510609249,4,368.3099865605742,1
45.0,1,15915.73,1461.3108333333332,5.0,7.0,24.0,4.0,5,12.0,12.05,9.0,1,1554.95,32.891373097690426,11.42,1,50.6602635385705,170.18164928059068,6,215.28917051417218,1
46.0,3,14834.445,1082.20375,0.0,7.0,2.0,2.0,10,1.0,6.51,3.0,2,1442.35,37.01940314840592,32.75,0,20.12944554649617,20.60311105743717,2,317.48781839606664,1
41.0,2,17646.92,1359.5766666666666,6.0,5.0,29.0,5.0,41,24.0,9.31,8.0,0,2679.53,22.49347074018184,12.5,1,47.38352538995275,46.099029308010294,5,322.47511196870363,1
17.0,11,18256.6,1662.3833333333332,7.0,6.0,21.0,5.0,46,20.0,15.65,7.0,0,4670.52,27.08835477075449,1.83,2,72.62659396613098,59.03083314836155,6,324.5809062188408,1
31.0,15,14780.71,1224.7258333333332,9.0,8.0,16.0,7.0,26,19.0,2.76,10.0,0,1811.96,27.15577939902649,6.33,1,67.78733814996905,82.37201183168798,6,262.31323335167633,1
15.0,5,46417.56,3606.13,6.0,7.0,29.0,5.0,61,17.0,17.65,13.0,0,4419.23,26.59919024808491,13.33,1,150.6176886772737,71.35454727338339,3,398.64076404934286,1
24.0,7,89995.59,7546.6325,5.0,7.0,5.0,3.0,23,17.0,11.25,7.0,1,458.81,38.45795649343573,17.67,2,122.20461482312724,159.79673473478843,3,732.6619004420844,1
25.0,13,28406.16,2371.18,2.0,4.0,2.0,0.0,21,5.0,10.23,4.0,2,1115.66,23.924971387499102,23.5,0,0.0,278.07605064277317,0,249.04194935722683,1
23.0,14,7123.915,756.6595833333333,4.0,6.0,19.0,4.0,5,10.0,17.24,9.0,1,1380.44,27.13104472933732,20.17,1,19.53036923390373,93.0141717721795,6,253.12141732725013,1
26.0,7,27865.26,2606.105,4.0,3.0,6.0,1.0,22,18.0,19.05,5.0,1,635.59,25.687375053748628,30.92,1,17.69844332156168,117.03365813386696,6,415.8783985445714,1
20.0,6,14773.91,1423.1591666666666,6.0,10.0,25.0,4.0,24,11.0,12.91,11.0,1,2370.05,36.49561515520575,9.42,1,29.479969900925934,92.05535561277199,4,290.78059115296867,1
27.0,12,36783.38,3151.2816666666663,10.0,5.0,17.0,7.0,15,22.0,27.35,12.0,0,4555.72,26.271423275986518,1.92,1,148.35811776936703,142.03246592399972,5,304.7375829732999,1
29.0,5,16362.68,1536.5566666666666,10.0,5.0,18.0,6.0,52,24.0,3.36,15.0,,2635.48,35.3113119201678,8.25,1,77.71339407246742,194.6772582151547,6,171.26501437904457,1
37.0,15,94053.57,7954.7975,4.0,4.0,14.0,3.0,19,10.0,11.96,0.0,1,815.38,31.70928195631432,26.83,2,197.13248689579484,190.63462350606528,2,657.7126395981401,1
33.0,12,134341.05,11116.0875,1.0,3.0,9.0,2.0,3,7.0,9.86,4.0,2,408.12,36.735363423698935,15.17,0,186.9434011182671,1087.59533371721,5,117.07001516452307,1
21.0,3,9691.165,689.5970833333334,8.0,6.0,28.0,6.0,49,11.0,9.22,7.0,1,1653.14,27.99184632736669,19.42,1,38.46153447383693,44.13366151426285,6,276.36451234523355,1
35.0,4,14526.58,1318.5483333333334,5.0,7.0,31.0,7.0,8,19.0,12.1,7.0,1,2447.81,26.50947965561273,17.5,1,83.96047515733541,99.74803415117144,6,238.14632402482647,1
22.0,6,41922.4,3564.5333333333333,8.0,6.0,19.0,7.0,6,18.0,7.75,12.0,1,2590.98,27.00325544965849,17.42,1,197.195617922328,89.58576117299368,2,319.6719542380117,1
42.0,9,34855.08,2847.59,5.0,7.0,23.0,5.0,14,14.0,6.2200000000000015,11.0,1,1652.88,23.79582673378881,17.25,1,136.54267191977272,72.42087074383606,1,315.79545733639117,1
